"OTU" "Feature_name" "261_179_Lych_384_193_S1_L001" "261_180_Reso_372_205_S2_L001" "261_184_Barg_360_217_S3_L001" "261_185_Barg_348_229_S4_L001" "261_186_Reso_336_241_S5_L001" "261_188_Barg_324_253_S6_L001" "261_189_Barg_312_265_S7_L001" "261_190_Eren_300_277_S8_L001" "261_191_Marr_383_194_S9_L001" "261_193_Reso_371_206_S10_L001" "261_200_Fril_359_218_S11_L001" "261_201_Apol_347_230_S12_L001" "261_202_Apol_335_242_S13_L001" "261_204_Keph_311_266_S15_L001" "261_205_Keph_299_278_S16_L001" "261_206_Nano_382_195_S17_L001" "261_207_Unde_370_207_S18_L001" "261_208_Lily_358_219_S19_L001" "261_209_Phys_346_231_S20_L001" "261_210_Lych_334_243_S21_L001" "261_211_Apol_322_255_S22_L001" "261_212_Fril_310_267_S23_L001" "261_213_Fors_298_279_S24_L001" "261_214_Lych_381_196_S25_L001" "261_215_Agal_369_208_S26_L001" "261_216_Diph_357_220_S27_L001" "261_217_Diph_345_232_S28_L001" "261_218_Diph_333_244_S29_L001" "261_219_Diph_321_256_S30_L001" "261_220_Cord_309_268_S31_L001" "261_221_Diph_297_280_S32_L001" "261_222_Gymn_380_197_S33_L001" "261_223_Cras_368_209_S34_L001" "261_225_Nano_344_233_S36_L001" "261_226_Desm_332_245_S37_L001" "261_229_Chun_320_257_S38_L001" "261_230_Lych_308_269_S39_L001" "261_231_Fors_296_281_S40_L001" "261_232_Barg_379_198_S41_L001" "261_237_Chun_367_210_S42_L001" "261_238_Gymn_355_222_S43_L001" "261_239_Barg_343_234_S44_L001" "261_240_Chun_331_246_S45_L001"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina__99.53_214_ 92.04_NA_NA_NA" "2166a11b34321de16bb320d92dfdb6a0" "472" "4241" "0" "470" "2678" "2657" "1373" "45" "2709" "1536" "458" "1531" "552" "1492" "2535" "669" "259" "758" "346" "0" "2039" "0" "0" "0" "447" "44" "732" "450" "721" "6340" "3878" "991" "344" "0" "415" "1512" "426" "1179" "1631" "815" "1871" "2079" "778"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina__99.53_214_ 92.04_NA_NA_NA" "793f3b9e3a5ecf2de977d699e48a4a57" "350" "3788" "246" "314" "2678" "2120" "1165" "36" "3112" "1455" "399" "1206" "469" "904" "2156" "687" "237" "851" "295" "13" "1781" "81" "87" "45" "417" "623" "734" "594" "864" "5264" "2749" "911" "0" "0" "327" "1224" "344" "984" "1344" "784" "1932" "1771" "1077"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__ 96.23_ 53.00_ 88.70_NA" "c03d531fdfb4a5673501d31fd3ab2a83" "0" "0" "4783" "264" "0" "138" "84" "0" "41" "372" "37" "0" "0" "0" "0" "0" "0" "0" "0" "108" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "373" "0" "0" "0" "0"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__ 96.23_ 53.00_ 88.70_NA" "cdf9fee210c1acfaa4d60ee3c47800e2" "0" "22" "3847" "225" "0" "152" "73" "0" "32" "386" "26" "0" "0" "0" "0" "0" "0" "0" "0" "93" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "328" "0" "0" "0" "0"
"Eukaryota__94_50_86.72___NA_NA_NA_NA" "77baf0158d480ae24d20791149538f16" "0" "0" "598" "474" "0" "0" "59" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "37" "0" "0" "0" "0" "0" "0" "0" "0" "137" "0" "0" "0" "0"
"Eukaryota__100_34_88.90___NA_NA_NA_NA" "f29c63e18baadfd498a44bade32386fe" "0" "0" "546" "508" "0" "0" "46" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "50" "0" "0" "0" "0" "0" "0" "0" "0" "135" "0" "0" "0" "0"
"Eukaryota_SAR_Stramenopiles_Ochrophyta_Chrysophyceae__100_192.00_ 92.07_NA_NA" "03b30b78814ca43999cab770d621cfb0" "0" "0" "406" "176" "90" "147" "52" "0" "0" "189" "30" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria_Arthropoda_Malacostraca_Decapoda__99.53_214.00_ 73.63_NA_NA" "04a123d6bb5910700df916b94b5a0f57" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "993" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_SAR_Stramenopiles_Ochrophyta_Chrysophyceae__100_191.00_ 92.06_NA_NA" "d12c79884f544502120bf8d959ed73ea" "0" "0" "354" "146" "0" "124" "41" "0" "15" "186" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "23" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria_Arthropoda_Malacostraca_Decapoda__100_192.00_ 73.65_NA_NA" "506c726359c1809cdb67ca7cb0fff843" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "877" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
