"OTU" "Feature_name" "134_179_Lych_384_193_S1_L001" "134_180_Reso_372_205_S2_L001" "134_184_Barg_360_217_S3_L001" "134_185_Barg_348_229_S4_L001" "134_186_Reso_336_241_S5_L001" "134_188_Barg_324_253_S6_L001" "134_189_Barg_312_265_S7_L001" "134_190_Eren_300_277_S8_L001" "134_193_Reso_371_206_S10_L001" "134_200_Fril_359_218_S11_L001" "134_201_Apol_347_230_S12_L001" "134_202_Apol_335_242_S13_L001" "134_203_Barg_323_254_S14_L001" "134_204_Keph_311_266_S15_L001" "134_205_Keph_299_278_S16_L001" "134_206_Nano_382_195_S17_L001" "134_207_Unde_370_207_S18_L001" "134_208_Lily_358_219_S19_L001" "134_209_Phys_346_231_S20_L001" "134_210_Lych_334_243_S21_L001" "134_211_Apol_322_255_S22_L001" "134_212_Fril_310_267_S23_L001" "134_213_Fors_298_279_S24_L001" "134_214_Lych_381_196_S25_L001" "134_215_Agal_369_208_S26_L001" "134_216_Diph_357_220_S27_L001" "134_217_Diph_345_232_S28_L001" "134_218_Diph_333_244_S29_L001" "134_219_Diph_321_256_S30_L001" "134_220_Cord_309_268_S31_L001" "134_221_Diph_297_280_S32_L001" "134_222_Gymn_380_197_S33_L001" "134_223_Cras_368_209_S34_L001" "134_225_Nano_344_233_S36_L001" "134_226_Desm_332_245_S37_L001" "134_229_Chun_320_257_S38_L001" "134_230_Lych_308_269_S39_L001" "134_231_Fors_296_281_S40_L001" "134_232_Barg_379_198_S41_L001" "134_237_Chun_367_210_S42_L001" "134_238_Gymn_355_222_S43_L001" "134_239_Barg_343_234_S44_L001" "134_240_Chun_331_246_S45_L001"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_uncultured eukaryote_uncultured eukaryote_NA_100.00" "14372487706b93295db8c6143188a130" "9625" "9992" "13239" "12300" "7347" "40977" "9270" "24540" "48203" "12176" "0" "0" "8164" "11110" "16397" "16323" "10043" "23150" "14107" "182" "17905" "8314" "9069" "7084" "18894" "31350" "21765" "19704" "24737" "61909" "28460" "13071" "8054" "37" "5932" "13243" "11654" "0" "17840" "10998" "18720" "19007" "6239"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_uncultured eukaryote_uncultured eukaryote_NA_100.00" "b2c19d3a0d856fda04b8e923c52067c3" "9540" "0" "0" "0" "7297" "0" "0" "0" "51251" "0" "0" "0" "0" "9" "17713" "0" "10497" "23017" "9910" "157" "0" "0" "0" "0" "17863" "0" "0" "0" "0" "61561" "136" "14039" "8505" "0" "0" "0" "0" "0" "16224" "0" "16688" "0" "0"
"Eukaryota_SAR_Rhizaria_Retaria_RAD C_uncultured eukaryote_uncultured eukaryote_NA_ 99.16" "566e945710939d2b0d54824bef3ac0c9" "0" "0" "0" "11668" "0" "42642" "9911" "0" "0" "0" "0" "0" "0" "0" "0" "16982" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "15737" "37"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_uncultured eukaryote_uncultured eukaryote_NA_100.00" "c1642785ff115716be64a1091816d0db" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "30083" "20030" "20878" "22135" "61" "18" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_uncultured eukaryote_uncultured eukaryote_NA_100.00" "dcabc2b908afa5fc7e5d447d608b611a" "0" "6842" "0" "0" "0" "0" "0" "26024" "0" "12351" "0" "0" "0" "10911" "0" "0" "0" "0" "0" "0" "0" "9526" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__98.32_119.00_ 90.46" "dc07cc242b32fed04b85e921a1da580e" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "13434" "11772" "0" "0" "11049" "0" "0" "5368"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_uncultured eukaryote_uncultured eukaryote_NA_100.00" "c290b7494422f61df7f6d082a2825dcd" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "6896" "0" "0" "0" "0" "0" "0" "27043" "0" "0" "0" "6108" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group II_uncultured eukaryote_uncultured eukaryote_NA_100.00" "1aaaa0873fe702ee6d0ecf31fc85562a" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "14507" "6425" "0" "0" "0" "0" "0" "0" "0" "0" "17951" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group II_uncultured eukaryote_uncultured eukaryote_NA_100.00" "1967af632726f930210de183fc77a472" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "13709" "6860" "0" "0" "0" "0" "0" "0" "0" "0" "17" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__99.16_119.00_ 90.19" "ea50a4065078bc6b9ace6c5121de3ced" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "9181" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "10752" "0" "0" "0" "0" "0"
